M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0,4202.84,1.0,0.0
2000,0.0,4200.88,1.0,0.0
3000,0.0,4200.48,1.0,0.0
4000,0.0,4189.0,1.0,0.0
5000,0.0,4187.6,1.0,0.0
6000,0.0,4184.6,1.0,0.0
7000,0.0,4200.48,1.0,0.0
8000,0.0,4204.48,1.0,0.0
9000,0.0,4187.88,1.0,0.0
10000,0.0,4200.08,1.0,0.0
12000,0.0,4196.8,1.0,0.0
14000,0.0,4204.0,1.0,0.0
16000,0.0,4195.8,1.0,0.0
18000,0.0006000000000000001,4202.8,1.0,0.0
25000,0.08539999999999998,8254.32,2.0,5962.84
30000,0.09569999999999985,8254.32,2.0,6534.66
35000,0.10329999999999986,8286.32,2.0,6970.19
40000,0.11349999999999989,8224.04,2.0,7307.38
45000,0.12029999999999981,8274.72,2.0,7581.6
50000,0.12480000000000001,8272.12,2.0,7801.21
60000,0.1398000000000002,8247.96,2.01,8146.79
70000,0.1511000000000002,8258.52,2.04,8398.75
80000,0.1636000000000001,8282.0,2.07,8590.04
90000,0.17290000000000003,8273.52,2.06,8743.16
100000,0.1864999999999999,8283.2,2.06,8862.17
200000,0.3295999999999998,8266.36,2.86,9426.01
300000,0.4443000000000002,8290.8,2.91,9620.28
400000,0.5594999999999998,8278.44,2.92,9717.86
500000,0.6696999999999997,8257.48,2.93,9775.8
600000,0.7627000000000003,8287.6,2.86,9815.92
700000,0.8800999999999999,8264.08,2.89,9842.46
800000,0.9899000000000001,8300.72,2.86,9863.29
900000,1.0729999999999995,8287.08,2.8,9880.91
1000000,1.1804999999999999,8273.92,2.78,9893.73
2000000,2.1299000000000006,8276.52,2.62,9950.15
4000000,3.9142999999999994,8255.4,2.41,9977.58
6000000,5.597799999999999,8222.6,2.28,9986.38
8000000,7.2631,8245.92,2.18,9990.3
10000000,8.970499999999998,8221.44,2.11,9992.87
15000000,13.4839,8112.64,2.07,9996.28
20000000,17.056899999999995,8216.56,2.05,9997.71
25000000,21.279800000000005,8138.36,2.04,9998.57
30000000,25.912100000000006,8110.56,2.03,9999.02
35000000,29.8303,8170.2,2.03,9999.48
