M,Time (s),Memory (KB),Passes
100,0.03,4152.0,990.67
200,0.06,3196.0,984.1
300,0.08,3108.0,980.75
400,0.1,4132.0,978.96
500,0.12,3104.0,976.85
600,0.15,4192.0,975.38
700,0.2,3108.0,974.18
800,0.2,3108.0,972.64
900,0.22,3196.0,971.03
1000,0.24,3168.0,970.51
2000,0.48,3140.0,960.99
3000,0.71,3136.0,954.03
4000,0.97,3108.0,948.81
5000,1.17,3144.0,943.26
6000,1.41,3108.0,938.86
7000,1.64,3164.0,934.31
8000,1.86,3132.0,930.25
9000,2.09,3188.0,926.77
10000,2.31,3108.0,923.05
11000,2.54,3136.0,919.04
12000,2.76,3112.0,915.48
13000,2.96,3180.0,911.75
14000,3.21,3108.0,908.3
15000,3.4,3108.0,904.39
16000,3.51,3108.0,900.98
17000,3.81,3152.0,897.32
18000,4.02,3108.0,892.77
19000,4.22,3108.0,889.31
20000,4.35,3132.0,886.34
30000,6.25,3140.0,836.2
40000,7.33,3108.0,742.51
50000,7.49,3116.0,604.59
60000,6.93,3108.0,470.13
70000,6.47,3104.0,372.2
80000,5.89,3108.0,301.73
90000,5.62,3172.0,256.22
100000,5.52,3144.0,222.65
200000,5.6,3108.0,113.52
300000,5.16,3108.0,70.36
400000,3.56,3108.0,36.02
