M,Time (s),Memory (KB),Passes
100,0.0,4192.0,6.11
200,0.0,4132.0,15.5
300,0.0,3152.0,20.79
400,0.0,4156.0,22.98
500,0.0,4132.0,25.39
600,0.01,3136.0,27.15
700,0.01,4164.0,28.4
800,0.01,3128.0,30.06
900,0.01,4132.0,31.45
1000,0.01,4144.0,32.66
2000,0.02,3164.0,41.84
3000,0.04,4172.0,48.39
4000,0.06,4180.0,54.66
5000,0.08,4164.0,59.35
6000,0.1,3148.0,63.61
7000,0.12,3108.0,67.33
8000,0.15,4136.0,71.22
9000,0.17,4152.0,74.85
10000,0.2,3108.0,77.91
11000,0.22,3104.0,81.15
12000,0.26,3136.0,84.1
13000,0.28,3116.0,87.22
14000,0.32,4184.0,90.35
15000,0.35,3132.0,93.11
16000,0.39,4152.0,96.23
17000,0.42,4156.0,99.12
18000,0.47,4188.0,102.15
19000,0.51,4152.0,104.72
20000,0.55,3132.0,107.55
30000,1.04,4172.0,138.6
40000,2.13,3108.0,210.77
50000,5.2,3108.0,411.96
60000,8.68,3136.0,580.21
70000,12.05,3108.0,687.48
80000,15.11,3136.0,751.97
90000,17.86,4132.0,791.46
100000,20.52,4160.0,819.09
200000,44.84,3108.0,903.77
300000,70.25,4132.0,941.01
400000,98.44,4132.0,971.25
