N,Time (s),Memory (KB),Passes
10,0.01,10144.0,2.0
20,0.01,10176.0,2.0
30,0.01,10176.0,2.0
40,0.01,10192.0,2.0
50,0.01,10192.0,2.0
60,0.01,10208.0,2.0
70,0.01,10224.0,2.0
80,0.01,10240.0,2.0
90,0.01,10272.0,3.0
100,0.01,10272.0,3.0
150,0.01,10352.0,3.0
200,0.02,10400.0,3.0
250,0.02,10448.0,3.0
300,0.02,10544.0,3.0
350,0.02,10608.0,3.0
400,0.02,10688.0,3.0
450,0.02,10752.0,3.0
500,0.02,10832.0,3.0
600,0.02,10992.0,3.0
700,0.03,11136.0,3.0
800,0.03,11296.0,3.0
900,0.03,11456.0,3.0
1000,0.04,11584.0,3.0
1200,0.05,11888.0,3.0
1400,0.05,12288.0,3.0
1600,0.06,12560.0,3.0
1800,0.07,12832.0,3.0
2000,0.08,13104.0,3.0
2500,0.1,13888.0,3.0
3000,0.13,14688.0,3.0
3500,0.16,15456.0,3.0
4000,0.19,16160.0,3.0
4500,0.31,17152.0,3.0
5000,0.25,17728.0,3.0
6000,0.32,19152.0,3.0
7000,0.42,20992.0,3.0
8000,0.67,22768.0,3.0
9000,0.68,23392.0,3.0
10000,0.65,26224.0,3.0
