N,Time (s),Memory (KB),Passes
10,0.0,12008.0,1.0
20,0.0,19004.0,1.0
30,0.0,25916.0,1.0
40,0.0,32964.0,1.0
50,0.0,40020.0,1.0
60,0.0,47304.0,1.0
70,0.0,54228.0,1.0
80,0.0,61024.0,1.0
90,0.0,68308.0,1.0
100,0.0,75248.0,1.0
150,0.0,4136.0,1.0
200,0.0,4092.0,1.0
250,0.0,4212.0,1.0
300,0.0,4200.0,1.0
350,0.0,4328.0,1.0
400,0.0,4292.0,1.0
450,0.0,4412.0,1.0
500,0.0,4460.0,1.0
600,0.0,4596.0,1.0
700,0.01,4656.0,1.0
800,0.01,4552.0,1.0
900,0.01,4748.0,1.0
1000,0.01,4852.0,1.0
1200,0.01,5056.0,1.0
1400,0.02,5104.0,1.0
1600,0.02,5372.0,1.0
1800,0.03,5672.0,1.0
2000,0.03,5912.0,1.0
2500,0.04,6412.0,1.0
3000,0.06,7080.0,1.0
3500,0.08,7660.0,1.0
4000,0.09,8100.0,1.0
4500,0.11,9240.0,1.0
5000,0.13,9500.0,1.0
6000,0.18,10532.0,1.0
7000,0.04,10796.0,1.0
8000,0.28,14132.0,1.0
9000,0.43,14696.0,1.0
10000,0.55,16000.0,1.0
