N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3175.68,1.0,0.0
20,0.0,3176.16,1.0,0.0
30,0.0,3174.44,1.0,0.0
40,0.0,3173.84,2.02,24.64
50,0.0,3178.96,2.04,28.23
60,0.0,3173.88,2.04,31.79
70,0.0,3173.56,2.04,34.81
80,0.0,3178.72,2.06,38.08
90,0.0,3180.52,2.04,41.38
100,0.0,3180.36,2.08,43.33
200,0.0,3174.2,2.1,63.0
300,0.0,3181.04,2.19,77.74
400,0.0,3177.56,2.18,82.7
500,0.0,3179.32,2.13,87.34
600,0.0005,3180.16,2.23,93.81
700,0.0020000000000000005,3171.92,2.21,92.72
800,0.005700000000000003,3175.72,2.18,96.43
900,0.008500000000000006,3177.28,2.23,93.78
1000,0.010400000000000006,3181.96,2.28,102.64
1200,0.011500000000000008,3171.04,2.3,95.99
1400,0.01350000000000001,3176.52,2.21,105.19
1600,0.01710000000000001,3178.0,2.31,96.62
1800,0.013400000000000009,3178.32,2.25,100.52
2000,0.01590000000000001,3174.52,2.38,108.84
2500,0.03189999999999997,3174.64,2.36,108.7
3000,0.04479999999999999,4111.2,2.27,110.73
3500,0.05809999999999995,4200.52,2.36,111.52
4000,0.03869999999999995,4191.8,2.35,110.27
4500,0.047,4202.48,2.4,112.91
5000,0.052499999999999936,4204.92,2.44,122.75
6000,0.06869999999999997,4220.64,2.49,121.27
7000,0.0806,5139.36,2.46,124.23
8000,0.09280000000000004,5227.04,2.45,126.46
9000,0.1044999999999999,5235.96,2.42,121.76
10000,0.12330000000000002,5458.6,2.51,122.56
