M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0006,42016.0,1.0,0.15
2000,0.0011,45136.0,1.0,0.18
3000,0.0015,47152.0,1.0,0.44
4000,0.0021,50252.0,1.0,0.34
5000,0.0025,54316.0,1.0,0.44
6000,0.0031,57428.0,1.0,0.39
7000,0.0034999999999999996,60496.0,1.0,0.32
8000,0.0042,62612.0,1.0,0.22
9000,0.0044,64596.0,1.0,0.23
10000,0.005,65632.0,1.0,0.22
12000,0.0058,68652.0,1.0,0.14
14000,0.0067,69672.0,1.0,0.15
16000,0.0073,70716.0,1.0,0.05
18000,0.0079,71756.0,1.0,0.03
25000,0.0105,73772.0,1.0,23.89
30000,0.0121,74836.0,1.0,46.85
35000,0.0137,73844.0,1.0,131.07
40000,0.015,73764.0,1.0,481.53
45000,0.0161,76848.0,1.0,1074.67
50000,0.0176,75820.0,1.0,1462.3
60000,0.0576,13164.0,2.0,8433.1
70000,0.058899999999999994,13196.0,2.0,8638.87
80000,0.0622,12148.0,2.0,8806.49
90000,0.0664,12144.0,2.0,8935.97
100000,0.07,12140.0,2.0,9042.87
200000,0.1192,13196.0,2.0,9544.48
300000,0.24969999999999998,12156.0,3.0,9720.73
400000,0.3181,12120.0,3.0,9775.48
500000,0.3944,12128.0,3.0,9818.86
600000,0.45880000000000004,12200.0,3.0,9848.09
700000,0.5504,12164.0,3.0,9871.63
800000,0.63,12144.0,3.0,9889.43
900000,0.6742,12132.0,3.0,9902.19
1000000,0.7692,12132.0,3.0,9912.5
2000000,1.9656,12156.0,3.97,9963.45
4000000,3.9451,12144.0,4.0,9980.42
6000000,6.0095,12168.0,4.0,9987.97
8000000,7.8083,12192.0,4.0,9991.95
10000000,10.1675,12160.0,4.01,9993.96
15000000,17.611,12168.0,4.66,9997.23
20000000,24.163,12208.0,4.95,9998.14
25000000,31.005300000000002,12168.0,4.96,9998.76
