M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.00065,377908.0,1.0,0.122
2000,0.0016899999999999999,403540.0,1.0,0.19
3000,0.0025499999999999997,427068.0,1.0,0.325
4000,0.00235,459844.0,1.0,0.403
5000,0.00418,493624.0,1.0,0.471
6000,0.0035,526408.0,1.0,0.408
7000,0.00591,558144.0,1.0,0.362
8000,0.00664,582692.0,1.0,0.298
9000,0.00736,599076.0,1.0,0.215
10000,0.00811,614468.0,1.0,0.206
12000,0.00943,634916.0,1.0,0.17
14000,0.01062,648260.0,1.0,0.119
16000,0.01202,657472.0,1.0,0.065
18000,0.01291,663604.0,1.0,0.05
25000,0.016649999999999998,682104.0,1.0,28.803
30000,0.01921,693368.0,1.0,90.174
35000,0.01468,689188.0,1.0,204.539
40000,0.02434,702560.0,1.0,590.626
45000,0.02613,711720.0,1.0,1109.45
50000,0.030010000000000002,710712.0,1.0,1509.59
60000,0.10264,12136.0,2.0,8429.72
70000,0.07892,12136.0,2.0,8639.26
80000,0.09367,12136.0,2.0,8805.99
90000,0.08863,12164.0,2.0,8936.68
100000,0.09329000000000001,13200.0,2.0,9043.97
200000,0.20551,12136.0,2.0,9541.95
300000,0.32808,12172.0,3.0,9723.09
400000,0.43009,12136.0,3.0,9777.59
500000,0.6979,12136.0,3.0,9819.56
600000,0.79273,12136.0,3.0,9849.44
700000,0.95629,12660.0,3.0,9871.16
800000,0.95936,12136.0,3.0,9888.59
900000,1.2368599999999998,12920.0,3.0,9902.2
1000000,1.1962300000000001,10384.0,3.0,9912.65
2000000,3.46748,12180.0,3.952,9963.49
