M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,42068.0,1.0,0.15
2000,0.001,45128.0,1.0,0.18
3000,0.0016,46128.0,1.0,0.44
4000,0.0021,49268.0,1.0,0.34
5000,0.0025,54336.0,1.0,0.44
6000,0.003,55332.0,1.0,0.39
7000,0.0037,59448.0,1.0,0.32
8000,0.0042,63564.0,1.0,0.22
9000,0.0048,64556.0,1.0,0.23
10000,0.005,66628.0,1.0,0.22
12000,0.0058,67656.0,1.0,0.14
14000,0.0067,68660.0,1.0,0.15
16000,0.0072,70752.0,1.0,0.05
18000,0.0079,70704.0,1.0,0.03
25000,0.0105,73816.0,1.0,23.89
30000,0.0124,73828.0,1.0,46.85
35000,0.013600000000000001,73800.0,1.0,131.07
40000,0.0161,74872.0,1.0,481.53
45000,0.0159,76848.0,1.0,1074.67
50000,0.0176,76896.0,1.0,1462.3
60000,0.0576,12164.0,2.0,8433.1
70000,0.0588,12132.0,2.0,8638.87
80000,0.0626,12132.0,2.0,8806.49
90000,0.06509999999999999,12148.0,2.0,8935.97
100000,0.07,13164.0,2.0,9042.87
200000,0.1197,12132.0,2.0,9544.48
300000,0.17379999999999998,12156.0,2.0,9707.76
400000,0.22,12328.0,2.0,9788.88
500000,0.271,11324.0,2.0,9835.0
600000,0.32189999999999996,11328.0,2.0,9863.77
700000,0.3809,11328.0,2.0,9886.02
800000,0.4324,11332.0,2.0,9902.7
900000,0.49060000000000004,11336.0,2.0,9914.03
1000000,0.5349,11300.0,2.0,9921.83
2000000,1.5536,11300.0,3.0,9959.15
4000000,3.0450999999999997,11300.0,3.0,9980.29
6000000,4.529,11328.0,3.0,9988.19
8000000,6.1701999999999995,11300.0,3.0,9992.1
10000000,7.5652,11384.0,3.0,9994.05
15000000,11.298699999999998,11340.0,3.0,9996.97
20000000,14.884,11300.0,3.0,9998.34
25000000,19.0202,11324.0,3.0,9998.97
