N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4192.0,1.0,2.32
20,0.0,4168.0,1.0,2.32
30,0.0,4188.0,1.0,1.7
40,0.0001,4168.0,1.0,24.58
50,0.0002,4196.0,1.0,28.13
60,0.0002,4168.0,1.08,31.89
70,0.0003,4168.0,1.48,34.83
80,0.0004,4188.0,1.74,38.08
90,0.0005,4216.0,1.89,41.44
100,0.0006,4168.0,1.97,43.37
200,0.0015,4184.0,2.0,63.05
300,0.0024,4232.0,2.0,77.64
400,0.0033,4168.0,2.0,82.94
500,0.0044,4192.0,2.0,87.3
600,0.0054,4168.0,2.0,94.19
700,0.006500000000000001,4152.0,2.0,92.91
800,0.0075,3148.0,2.0,96.65
900,0.0084,4212.0,2.0,93.82
1000,0.0096,4132.0,2.0,102.86
1200,0.0121,5192.0,2.0,95.81
1400,0.015,4204.0,2.0,105.34
1600,0.0168,4132.0,2.0,96.69
1800,0.0192,5220.0,2.0,100.97
2000,0.0219,5216.0,2.0,108.94
2500,0.0294,6216.0,2.0,109.1
3000,0.0344,6212.0,2.0,110.9
3500,0.04190000000000001,6196.0,2.0,111.93
