N,Time (s),Memory (KB),Passes
10,0.0,4028.0,2.0
20,0.0,3912.0,3.0
30,0.0,4040.0,3.04
40,0.0,4280.0,3.07
50,0.0,4128.0,3.1
60,0.0,3928.0,3.12
70,0.0,4144.0,3.15
80,0.0,3940.0,3.17
90,0.0,4032.0,3.2
100,0.0,4156.0,3.22
150,0.0,4200.0,3.32
200,0.0,4196.0,3.39
250,0.0,4124.0,3.45
300,0.0,4268.0,3.51
350,0.0,4316.0,3.55
400,0.0,4320.0,3.59
450,0.0,4148.0,3.63
500,0.0,4404.0,3.65
600,0.01,4444.0,3.7
700,0.01,4480.0,3.74
800,0.01,4560.0,3.78
900,0.01,4480.0,3.8
1000,0.01,4556.0,3.84
1200,0.01,4764.0,3.87
1400,0.01,4876.0,3.89
1600,0.02,4976.0,3.92
1800,0.02,5080.0,3.94
2000,0.02,5124.0,3.95
2500,0.03,5076.0,3.98
3000,0.04,5676.0,4.0
3500,0.04,5956.0,4.01
4000,0.05,6164.0,4.02
4500,0.07,6440.0,4.02
5000,0.07,6424.0,4.03
6000,0.09,7072.0,4.04
7000,0.11,7452.0,4.05
8000,0.13,7768.0,4.06
9000,0.15,8888.0,4.07
10000,0.17,9260.0,4.07
