N,Time (s),Memory (KB),Passes
10,0.0,4124.0,2.0
20,0.0,4068.0,2.0
30,0.0,3932.0,2.0
40,0.0,4036.0,2.0
50,0.0,4228.0,2.0
60,0.0,4092.0,2.0
70,0.0,4128.0,2.0
80,0.0,4212.0,2.0
90,0.0,4092.0,2.0
100,0.0,4376.0,2.0
150,0.0,4168.0,2.0
200,0.0,4368.0,2.0
250,0.0,4436.0,2.0
300,0.0,4292.0,2.0
350,0.0,4564.0,2.0
400,0.0,4548.0,2.0
450,0.0,4664.0,2.0
500,0.0,4716.0,2.0
600,0.0,4820.0,3.0
700,0.0,5088.0,3.0
800,0.01,5000.0,3.0
900,0.01,5264.0,3.0
1000,0.01,5472.0,3.0
1200,0.01,5680.0,3.0
1400,0.01,6100.0,3.0
1600,0.01,6304.0,3.0
1800,0.01,6484.0,3.0
2000,0.02,6840.0,3.0
2500,0.02,7436.0,3.0
3000,0.02,8316.0,3.0
3500,0.03,8924.0,3.0
4000,0.03,9304.0,3.0
4500,0.04,9952.0,3.0
5000,0.04,10716.0,3.0
6000,0.05,11992.0,3.0
7000,0.06,13364.0,3.0
8000,0.07,14724.0,3.0
9000,0.08,16116.0,3.0
10000,0.09,17516.0,3.0
