N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4176.0,2.0,10.0
20,0.0,4132.0,2.0,18.0
30,0.0,4132.0,2.0,30.0
40,0.0,3184.0,3.0,39.0
50,0.0,3128.0,3.0,48.0
60,0.0,4148.0,3.0,58.0
70,0.0,4192.0,3.0,66.0
80,0.0,3216.0,3.0,75.0
90,0.0,4144.0,3.0,83.0
100,0.0,4148.0,3.0,97.0
200,0.0,4144.0,3.0,189.0
300,0.0,4168.0,3.0,290.0
400,0.01,4148.0,3.0,384.0
500,0.01,4148.0,3.0,482.0
600,0.02,4160.0,3.0,583.0
700,0.02,4176.0,3.0,683.0
800,0.04,4152.0,4.0,785.0
900,0.05,3124.0,4.0,888.0
1000,0.05,3128.0,4.0,983.0
1200,0.07,3136.0,4.0,1178.0
1400,0.1,4148.0,4.0,1365.0
1600,0.12,5212.0,4.0,1571.0
1800,0.14,4208.0,4.0,1769.0
2000,0.16,5196.0,4.0,1961.0
2500,0.23,4156.0,4.0,2457.0
3000,0.31,5180.0,4.0,2948.0
3500,0.38,5176.0,4.0,3453.0
4000,0.46,6224.0,4.0,3946.0
4500,0.55,6196.0,4.0,4443.0
5000,0.66,6220.0,4.0,4945.0
6000,0.86,7220.0,4.0,5934.0
7000,1.09,7220.0,4.0,6925.0
8000,1.3,8276.0,4.0,7927.0
9000,1.57,8244.0,4.0,8924.0
10000,1.84,8228.0,4.0,9926.0
