N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,4e-05,4192.0,1.995,9.452
20,0.00013000000000000002,4152.0,2.323,18.594
30,0.00017,3136.0,2.879,27.866
40,0.00039,4152.0,2.992,37.027
50,0.00038,3136.0,3.002,46.454
60,0.0007,4180.0,3.011,55.746
70,0.00061,3132.0,3.039,65.25
80,0.0007700000000000001,4152.0,3.091,74.779
90,0.00092,4188.0,3.192,84.348
100,0.00133,3144.0,3.276,94.014
200,0.00372,3164.0,3.984,190.233
300,0.0069299999999999995,4188.0,4.003,287.098
400,0.01184,4152.0,4.029,384.495
500,0.019289999999999998,4152.0,4.122,482.66
600,0.019370000000000002,3108.0,4.338,580.769
700,0.030100000000000002,4180.0,4.61,679.55
800,0.03447,4156.0,4.834,777.813
900,0.04008,3108.0,4.932,876.364
1000,0.05116,3136.0,4.985,974.032
1200,0.06282,3136.0,5.0,1170.62
1400,0.09068999999999999,4168.0,5.0,1367.46
1600,0.09655,4132.0,5.0,1565.07
1800,0.11331000000000001,4132.0,5.0,1762.45
2000,0.14475,4208.0,5.0,1960.02
2500,0.18849000000000002,4132.0,5.013,2455.29
3000,0.26082,4132.0,5.089,2950.81
3500,0.32747000000000004,5156.0,5.293,3447.65
4000,0.42339,6204.0,5.63,3945.26
4500,0.50516,5184.0,5.868,4441.46
5000,0.6173500000000001,6180.0,5.967,4937.81
6000,0.8135,6196.0,5.999,5929.72
7000,1.01573,7216.0,6.0,6922.06
8000,1.22143,7244.0,6.0,7915.7
9000,1.4558,8276.0,6.0,8909.89
10000,2.1327399999999996,9204.0,6.0,9905.53
