N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3181.24,2.988,9.54
20,0.0,3182.284,3.022,18.576
30,0.0,3183.056,3.034,27.788
40,0.0,3182.988,3.064,36.956
50,0.0,3183.18,3.071,46.38
60,0.0,3181.98,3.101,55.808
70,0.0,3182.144,3.114,65.257
80,0.0,3181.556,3.116,74.676
90,0.0,3182.824,3.134,84.273
100,0.0,3183.396,3.131,93.642
200,0.0,3184.236,3.216,189.486
300,0.0,3182.424,3.296,286.46
400,0.004649999999999945,3182.036,3.334,383.631
500,0.009979999999999831,3183.192,3.359,481.131
600,0.013149999999999787,3182.6,3.421,578.53
700,0.01967999999999968,3183.076,3.435,676.483
800,0.024259999999999896,3183.648,3.479,774.544
900,0.029120000000000267,3184.096,3.482,872.72
1000,0.03470999999999997,3183.14,3.472,970.727
1200,0.0496599999999997,3184.08,3.52,1167.278
1400,0.06509000000000045,3184.32,3.545,1364.649
1600,0.08137000000000054,3185.844,3.576,1561.909
1800,0.09953000000000022,3182.004,3.608,1759.143
2000,0.1149099999999994,4195.032,3.59,1956.141
2500,0.1683000000000028,4200.42,3.659,2450.287
3000,0.22405999999999973,4199.0,3.673,2945.336
3500,0.28645000000000276,4205.448,3.687,3439.991
4000,0.3580099999999994,4206.164,3.713,3935.405
4500,0.43935999999999603,5192.732,3.759,4431.127
5000,0.5119899999999956,5216.392,3.763,4926.834
6000,0.7015300000000106,5225.572,3.798,5919.354
7000,0.906089999999997,6212.664,3.818,6911.755
8000,1.1162500000000006,6261.372,3.807,7905.69
9000,1.3641300000000118,7158.768,3.825,8898.455
10000,1.5746699999999918,7213.096,3.821,9892.869
