K,Time (s),Memory (KB),Passes
50,0.02,6208.0,2.22
60,0.02,7220.0,2.16
70,0.02,7240.0,2.04
80,0.02,7236.0,2.0
90,0.02,6208.0,2.0
100,0.02,7216.0,2.0
150,0.02,7208.0,2.0
200,0.02,7240.0,2.0
250,0.02,7220.0,2.0
300,0.02,6196.0,2.0
350,0.02,7216.0,2.0
400,0.02,6180.0,2.0
450,0.02,6264.0,2.0
500,0.02,7260.0,2.0
550,0.02,7240.0,2.0
600,0.02,7264.0,2.0
650,0.02,6268.0,2.0
700,0.02,6264.0,2.0
750,0.02,7224.0,2.0
800,0.02,7232.0,2.0
850,0.02,5216.0,2.0
900,0.02,6264.0,2.0
950,0.02,7216.0,2.0
1000,0.02,6212.0,2.0
