K,Time (s),Memory (KB),Passes
50,0.01,10304.0,1.0
60,0.01,10292.0,1.0
70,0.01,10360.0,1.0
80,0.01,11352.0,1.0
90,0.01,11312.0,1.0
100,0.01,11320.0,1.0
150,0.01,10340.0,1.0
200,0.01,10316.0,1.0
250,0.01,11304.0,1.0
300,0.01,11356.0,1.0
350,0.01,11300.0,1.0
400,0.01,11356.0,1.0
450,0.01,11340.0,1.0
500,0.01,11300.0,1.0
550,0.01,11320.0,1.0
600,0.01,10316.0,1.0
650,0.01,10304.0,1.0
700,0.01,11348.0,1.0
750,0.01,11320.0,1.0
800,0.01,11360.0,1.0
850,0.01,11348.0,1.0
900,0.01,10300.0,1.0
950,0.01,11360.0,1.0
1000,0.01,10344.0,1.0
