M,Time (s),Memory (KB),Passes
100,0.0,6228.0,1.0
200,0.0,8288.0,1.0
300,0.0,7228.0,1.0
400,0.0,8240.0,1.0
500,0.0,8240.0,1.0
600,0.0,7264.0,1.0
700,0.0,7220.0,1.0
800,0.0,7284.0,1.0
900,0.0,7236.0,1.0
1000,0.0,8256.0,1.0
2000,0.0,8340.0,1.0
3000,0.0,9308.0,1.0
4000,0.0,8336.0,1.0
5000,0.0,10296.0,1.0
6000,0.0,8228.0,1.0
7000,0.0,10324.0,1.0
8000,0.0,10300.0,1.0
9000,0.0,10332.0,1.0
10000,0.0,10296.0,1.0
11000,0.01,5192.0,1.94
12000,0.01,5180.0,2.0
13000,0.01,5180.0,2.0
14000,0.01,5176.0,2.0
15000,0.01,5176.0,2.0
16000,0.02,5204.0,2.0
17000,0.02,5188.0,2.0
18000,0.02,4192.0,2.0
19000,0.02,5208.0,2.0
20000,0.02,5204.0,2.0
30000,0.03,4216.0,2.01
40000,0.04,5176.0,2.18
50000,0.05,5200.0,2.19
60000,0.06,5176.0,2.09
70000,0.07,5180.0,2.1
80000,0.07,4160.0,2.08
90000,0.08,4152.0,2.05
100000,0.09,5156.0,2.06
200000,0.17,5212.0,2.02
300000,0.25,4132.0,2.0
400000,0.33,4132.0,2.0
