M,Time (s),Memory (KB),Passes
100,0.0,7252.0,1.0
200,0.0,8248.0,1.0
300,0.0,8268.0,1.0
400,0.0,8276.0,1.0
500,0.0,7260.0,1.0
600,0.0,7220.0,1.0
700,0.0,8268.0,1.0
800,0.0,8252.0,1.0
900,0.0,7260.0,1.0
1000,0.0,9252.0,1.0
2000,0.0,9252.0,1.0
3000,0.0,4152.0,2.0
4000,0.0,4148.0,2.0
5000,0.01,4172.0,2.0
6000,0.01,4152.0,2.0
7000,0.01,3156.0,2.02
8000,0.01,4144.0,2.03
9000,0.01,4172.0,2.06
10000,0.01,4192.0,2.06
11000,0.01,4152.0,2.02
12000,0.01,3140.0,2.04
13000,0.01,4152.0,2.05
14000,0.01,4136.0,2.06
15000,0.01,3172.0,2.05
16000,0.01,4164.0,2.04
17000,0.01,4188.0,2.06
18000,0.02,4172.0,2.08
19000,0.02,4136.0,2.06
20000,0.02,3136.0,2.05
30000,0.03,4148.0,2.19
40000,0.04,4180.0,2.28
50000,0.04,3120.0,2.21
60000,0.05,4156.0,2.1
70000,0.06,4152.0,2.12
80000,0.07,4180.0,2.09
90000,0.08,4152.0,2.08
100000,0.08,4136.0,2.07
200000,0.16,4160.0,2.02
300000,0.24,3144.0,2.0
400000,0.33,3108.0,2.0
