M,Time (s),Memory (KB),Passes
100,0.0,7216.0,1.0
200,0.0,8284.0,1.0
300,0.0,8260.0,1.0
400,0.0,8268.0,1.0
500,0.0,7244.0,1.0
600,0.0,8240.0,1.0
700,0.0,8284.0,1.0
800,0.0,8252.0,1.0
900,0.0,8264.0,1.0
1000,0.0,8312.0,1.0
2000,0.0,9268.0,1.0
3000,0.0,8264.0,1.0
4000,0.0,8264.0,1.0
5000,0.0,10304.0,1.0
6000,0.01,5176.0,2.0
7000,0.01,5184.0,2.0
8000,0.01,5212.0,2.0
9000,0.01,5160.0,2.0
10000,0.01,4140.0,2.0
11000,0.01,4196.0,2.0
12000,0.01,4168.0,2.0
13000,0.01,5176.0,2.0
14000,0.01,5196.0,2.0
15000,0.01,5180.0,2.01
16000,0.02,5192.0,2.02
17000,0.02,5172.0,2.02
18000,0.02,5212.0,2.07
19000,0.02,5168.0,2.01
20000,0.02,5188.0,2.02
30000,0.03,5216.0,2.12
40000,0.04,5216.0,2.27
50000,0.05,5176.0,2.2
60000,0.05,4216.0,2.1
70000,0.06,5192.0,2.11
80000,0.07,5196.0,2.09
90000,0.08,4172.0,2.07
100000,0.08,5196.0,2.06
200000,0.16,5184.0,2.03
300000,0.24,4140.0,2.0
400000,0.33,4172.0,2.0
