M,Time (s),Memory (KB),Passes
100,0.0,3140.0,2.13
200,0.0,4152.0,3.05
300,0.0,4132.0,3.09
400,0.0,3136.0,3.16
500,0.0,4156.0,3.23
600,0.0,4172.0,3.22
700,0.0,3132.0,3.19
800,0.0,3144.0,3.21
900,0.0,4156.0,3.16
1000,0.0,4168.0,3.18
2000,0.0,3116.0,3.32
3000,0.0,3136.0,3.28
4000,0.01,3160.0,3.29
5000,0.01,4172.0,3.26
6000,0.01,3176.0,3.16
7000,0.01,3132.0,3.23
8000,0.01,3116.0,3.22
9000,0.01,4180.0,3.24
10000,0.01,3192.0,3.24
11000,0.01,3140.0,3.2
12000,0.01,4176.0,3.22
13000,0.01,3136.0,3.21
14000,0.02,3124.0,3.22
15000,0.02,3156.0,3.21
16000,0.02,4160.0,3.18
17000,0.02,4144.0,3.17
18000,0.02,3124.0,3.2
19000,0.02,3196.0,3.24
20000,0.02,4152.0,3.21
30000,0.03,3192.0,3.33
40000,0.05,3176.0,3.54
50000,0.06,4160.0,3.74
60000,0.07,4156.0,3.71
70000,0.09,3108.0,3.66
80000,0.1,4144.0,3.58
90000,0.11,4160.0,3.6
100000,0.12,4132.0,3.55
200000,0.22,4176.0,3.12
300000,0.32,3136.0,3.03
400000,0.43,3108.0,3.0
