K,Iteration,User Time (s),Memory (KB),Passes
4,1,8.9,80568.0,3
4,2,8.21,80524.0,3
4,3,8.36,80480.0,3
4,4,8.61,80504.0,3
4,5,8.62,80584.0,3
4,6,8.08,80532.0,3
4,7,7.74,80492.0,3
4,8,8.04,80528.0,3
4,9,7.68,80648.0,3
4,10,8.16,80584.0,3
4,11,8.04,80572.0,3
4,12,7.75,80652.0,3
4,13,8.55,80560.0,3
4,14,8.42,80580.0,3
4,15,8.25,80652.0,3
4,16,7.99,80636.0,3
4,17,7.97,80628.0,3
4,18,8.08,80616.0,3
4,19,8.05,80612.0,3
4,20,8.32,80492.0,3
4,21,7.98,80556.0,3
4,22,8.38,80648.0,3
4,23,8.09,80568.0,3
4,24,8.04,80632.0,3
4,25,8.87,80528.0,3
4,26,8.45,80584.0,3
4,27,8.55,80576.0,3
4,28,8.55,80580.0,3
4,29,8.3,80656.0,3
4,30,7.65,80484.0,3
4,31,7.95,80628.0,3
4,32,7.76,80584.0,3
4,33,7.78,80488.0,3
4,34,8.42,80540.0,3
4,35,8.08,80508.0,3
4,36,8.23,80612.0,3
4,37,7.83,80544.0,3
4,38,8.22,80496.0,3
4,39,8.37,80648.0,3
4,40,8.28,80632.0,3
4,41,8.19,80656.0,3
4,42,8.08,80496.0,3
4,43,8.17,80564.0,3
4,44,8.27,80652.0,3
4,45,8.51,80528.0,3
4,46,7.99,80616.0,3
4,47,7.54,80576.0,3
4,48,8.32,80476.0,3
4,49,8.48,80512.0,3
4,50,8.1,80632.0,3
