M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.38589999999999997,5229.0,2.0,5.27
2000,0.34469999999999984,5223.08,2.02,8.07
3000,0.2990999999999999,5229.48,2.06,12.5
4000,0.2609,5241.12,2.28,20.88
5000,0.21270000000000022,5491.12,2.93,53.37
6000,0.17670000000000005,6251.48,4.11,323.03
7000,0.13130000000000003,6435.28,4.54,786.25
8000,0.12589999999999996,7274.6,5.22,1308.56
9000,0.12109999999999993,7272.76,5.39,1813.86
10000,0.10989999999999991,7262.6,5.62,2294.67
12000,0.10589999999999991,7279.16,6.01,3117.59
14000,0.10529999999999991,7271.04,6.45,3804.32
16000,0.10379999999999985,7273.08,6.67,4376.16
18000,0.10409999999999993,7277.52,7.04,4861.56
25000,0.1107999999999999,8295.96,7.82,6055.08
30000,0.11889999999999994,8284.96,8.36,6620.76
35000,0.12640000000000007,8266.6,8.48,7048.35
40000,0.14350000000000018,8257.44,8.93,7377.17
45000,0.15040000000000014,8272.52,9.1,7645.19
50000,0.16690000000000005,8229.88,9.41,7857.72
60000,0.1964000000000001,8244.04,9.91,8200.15
70000,0.22209999999999994,8243.32,10.2,8436.78
80000,0.25150000000000006,8268.96,10.59,8622.4
90000,0.2885999999999999,8265.2,10.93,8772.75
100000,0.31999999999999973,8278.6,11.09,8890.88
200000,0.6864999999999999,8249.64,12.9,9443.39
300000,1.0871000000000002,8259.8,13.89,9626.45
400000,1.5135000000000003,8275.52,14.54,9724.1
500000,1.9264999999999999,8264.64,14.99,9781.6
600000,2.335599999999999,8275.6,15.34,9817.32
700000,2.7676999999999996,8242.68,15.65,9844.51
800000,3.233999999999999,8268.88,15.99,9864.17
900000,3.7228000000000008,8256.84,16.32,9880.36
1000000,4.141199999999998,8286.6,16.4,9894.87
2000000,8.891200000000003,8234.68,17.9,9949.93
4000000,18.711,8265.0,18.86,9977.73
6000000,28.75620000000002,8173.88,19.36,9986.48
8000000,39.105000000000004,7966.16,19.75,9990.69
10000000,49.29719999999998,8142.4,19.98,9993.02
15000000,76.8442,7907.76,20.31,9996.19
20000000,105.67190000000001,7784.72,20.61,9997.85
25000000,127.28149999999997,8100.04,20.69,9998.61
30000000,153.20089999999996,7875.68,20.72,9999.11
35000000,181.68209999999996,7865.2,20.76,9999.44
40000000,211.08730000000003,7732.44,20.78,9999.68
