M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0,4206.24,1.0,0.0
2000,0.0,4199.4,1.0,0.0
3000,0.0,4185.8,1.0,0.0
4000,0.0,4202.48,1.0,0.0
5000,0.0,4158.8,1.0,0.0
6000,0.0,4199.64,1.0,0.0
7000,0.0,4192.32,1.0,0.0
8000,0.0,4194.96,1.0,0.0
9000,0.0,4189.52,1.0,0.0
10000,0.0,4193.12,1.0,0.0
12000,0.0,4199.2,1.0,0.0
14000,0.0,4187.24,1.0,0.0
16000,0.0,4203.72,1.0,0.0
18000,0.0009,4194.92,1.0,0.0
25000,0.03149999999999995,8297.56,2.0,6396.95
30000,0.0733000000000001,8259.04,3.0,7191.55
35000,0.06930000000000006,8284.4,3.0,7404.87
40000,0.06870000000000005,8253.84,3.0,7651.09
45000,0.06440000000000007,8286.32,3.0,7880.69
50000,0.06519999999999998,8285.28,3.0,8073.16
60000,0.06930000000000007,8286.0,3.0,8393.79
70000,0.07400000000000011,8295.52,3.0,8625.16
80000,0.09770000000000001,8267.84,3.46,8844.3
90000,0.12209999999999983,8291.48,4.0,8960.61
100000,0.13040000000000018,8274.96,4.0,9028.07
200000,0.22720000000000012,8287.0,4.02,9512.73
300000,0.40819999999999945,8278.56,5.0,9669.63
400000,0.5352000000000002,8293.2,5.0,9751.08
500000,0.6538999999999991,8288.52,5.0,9807.11
600000,0.8940000000000002,8283.12,5.79,9847.95
700000,1.0750999999999993,8294.08,6.0,9866.91
800000,1.2266,8289.56,6.0,9881.95
900000,1.3755999999999997,8295.12,6.0,9895.07
1000000,1.5284000000000009,8276.4,6.0,9904.98
2000000,3.5013000000000005,8292.16,7.0,9957.21
4000000,7.128200000000004,8298.68,7.18,9980.16
6000000,11.837200000000003,8282.28,7.95,9987.65
8000000,15.801099999999996,8300.32,7.99,9991.41
10000000,20.240200000000005,8299.0,8.02,9993.48
15000000,32.293199999999985,8282.64,8.45,9996.5
20000000,42.826899999999995,8284.6,8.7,9997.93
25000000,54.57260000000001,8275.48,8.88,9998.73
30000000,65.92229999999999,8298.16,8.94,9999.09
35000000,78.31349999999998,8294.24,8.95,9999.47
