N,Time (s),Memory (KB),Passes
10,0.0,4144.0,2.99
20,0.0,4152.0,3.0
30,0.0,4152.0,3.01
40,0.0,4148.0,3.01
50,0.0,4152.0,3.02
60,0.0,4136.0,3.02
70,0.0,4136.0,3.02
80,0.0,4164.0,3.02
90,0.0,4168.0,3.04
100,0.0,4184.0,3.03
150,0.0,3128.0,3.06
200,0.0,4152.0,3.09
250,0.0,4152.0,3.12
300,0.01,3172.0,3.19
350,0.01,4152.0,3.21
400,0.01,4164.0,3.25
450,0.01,3136.0,3.27
500,0.01,3136.0,3.31
550,0.01,3108.0,3.32
600,0.02,3108.0,3.32
650,0.02,4176.0,3.32
700,0.02,4180.0,3.32
750,0.02,3132.0,3.34
800,0.03,3140.0,3.37
850,0.03,4156.0,3.37
900,0.03,4160.0,3.4
950,0.03,4164.0,3.41
1000,0.04,3132.0,3.4
