N,Time (s),Memory (KB),Passes
10,0.0,5176.0,1.0
20,0.0,5192.0,1.0
30,0.0,3136.0,2.0
40,0.0,4148.0,2.0
50,0.0,4192.0,2.0
60,0.0,4152.0,2.0
70,0.0,4188.0,2.0
80,0.0,3136.0,2.0
90,0.0,3188.0,2.0
100,0.0,4176.0,2.01
150,0.0,4188.0,2.73
200,0.0,4192.0,2.96
250,0.0,4188.0,2.98
300,0.0,4152.0,3.0
350,0.01,4172.0,3.0
400,0.01,3164.0,3.04
450,0.01,4172.0,3.16
500,0.01,3132.0,3.34
550,0.01,3136.0,3.44
600,0.02,3108.0,3.55
650,0.02,3104.0,3.61
700,0.02,4188.0,3.72
750,0.02,3164.0,3.9
800,0.03,3172.0,4.13
850,0.03,3108.0,4.36
900,0.04,4164.0,4.51
950,0.04,4160.0,4.58
1000,0.04,4168.0,4.69
