K,Average User Time (s),Average Memory (KB),Passes
1,0.0167,5740.0,4
2,0.0167,5254.6667,3
3,0.0167,5214.6667,3
4,0.01,5401.3333,2
5,0.01,5772.0,2
6,0.01,5964.0,2
7,0.01,6184.0,2
8,0.01,6042.6667,1
9,0.0067,6065.3333,1
10,0.0033,6038.6667,1
