N,Time (s),Memory (KB),Passes
10,0.01,10144.0,1.0
20,0.01,10160.0,1.0
30,0.01,10160.0,1.0
40,0.01,10160.0,1.0
50,0.01,10160.0,1.0
60,0.01,10160.0,1.0
70,0.01,10144.0,1.0
80,0.01,10144.0,1.0
90,0.01,10144.0,1.0
100,0.01,10160.0,1.0
150,0.01,10176.0,1.0
200,0.02,10192.0,1.0
250,0.02,10224.0,1.0
300,0.02,10256.0,1.0
350,0.02,10304.0,1.0
400,0.02,10352.0,1.0
450,0.02,10320.0,1.0
500,0.03,10368.0,1.0
600,0.03,10464.0,1.0
700,0.04,10528.0,1.0
800,0.04,10496.0,1.0
900,0.05,10592.0,1.0
1000,0.05,10736.0,1.0
1200,0.06,10784.0,1.0
1400,0.08,10880.0,1.0
1600,0.09,11104.0,1.0
1800,0.1,11248.0,1.0
2000,0.12,11248.0,1.0
2500,0.16,11664.0,1.0
3000,0.21,11920.0,1.0
3500,0.26,12448.0,1.0
4000,0.31,12896.0,1.0
4500,0.35,12928.0,1.0
5000,0.42,13536.0,1.0
6000,0.56,14688.0,1.0
7000,0.69,15280.0,1.0
8000,0.91,15968.0,1.0
9000,0.99,16528.0,1.0
10000,1.27,17776.0,1.0
