K,Average User Time (s),Average Memory (KB),Passes
1,14.156,52620.0,5
2,14.272,52624.8,5
3,13.302,52894.4,5
4,13.306,51352.0,5
5,12.984,55230.4,5
6,13.57,55044.8,5
7,13.52,55021.6,5
8,13.632,55520.0,5
9,13.676,54228.8,6
10,12.8,56068.8,5
