M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,42072.0,1.0,0.15
2000,0.0011,45116.0,1.0,0.18
3000,0.0014000000000000002,47148.0,1.0,0.44
4000,0.002,50236.0,1.0,0.34
5000,0.0025,54316.0,1.0,0.44
6000,0.003,57408.0,1.0,0.39
7000,0.0036,60464.0,1.0,0.32
8000,0.0042,62584.0,1.0,0.22
9000,0.0045000000000000005,64600.0,1.0,0.23
10000,0.0048,66644.0,1.0,0.22
12000,0.005600000000000001,67656.0,1.0,0.14
14000,0.0066,69692.0,1.0,0.15
16000,0.0072,69688.0,1.0,0.05
18000,0.0078000000000000005,70692.0,1.0,0.03
25000,0.037000000000000005,9160.0,2.0,6396.95
30000,0.0808,10216.0,3.0,7191.55
35000,0.07400000000000001,9176.0,3.0,7404.87
40000,0.0711,10240.0,3.0,7651.09
45000,0.0665,9180.0,3.0,7880.69
50000,0.0673,9204.0,3.0,8073.16
60000,0.0697,10220.0,3.0,8393.79
70000,0.076,10252.0,3.0,8625.16
80000,0.098,9268.0,3.46,8844.3
90000,0.1225,10216.0,4.0,8960.61
100000,0.1275,9184.0,4.0,9028.07
200000,0.2216,9180.0,4.02,9512.73
300000,0.4071,10244.0,5.0,9669.63
400000,0.5211,9180.0,5.0,9751.08
500000,0.6434000000000001,9180.0,5.0,9807.11
600000,0.8809,9180.0,5.79,9847.95
700000,1.0646,9272.0,6.0,9866.91
800000,1.2062,9192.0,6.0,9881.95
900000,1.3559,9180.0,6.0,9895.07
1000000,1.5393000000000001,9216.0,6.0,9904.98
2000000,3.5411,9180.0,7.0,9957.21
4000000,7.2989999999999995,9096.0,7.18,9980.16
6000000,11.7778,9200.0,7.95,9987.65
8000000,16.0543,9096.0,7.99,9991.41
10000000,19.7697,9124.0,8.02,9993.48
15000000,31.8942,9180.0,8.45,9996.5
20000000,42.593999999999994,9092.0,8.7,9997.93
25000000,54.3857,9184.0,8.88,9998.73
