M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,42032.0,1.0,0.15
2000,0.0011,44080.0,1.0,0.18
3000,0.0016,46120.0,1.0,0.44
4000,0.0021,49212.0,1.0,0.34
5000,0.0025,52260.0,1.0,0.44
6000,0.0031,57424.0,1.0,0.39
7000,0.0034999999999999996,60464.0,1.0,0.32
8000,0.0040999999999999995,62516.0,1.0,0.22
9000,0.0045000000000000005,64608.0,1.0,0.23
10000,0.0049,66624.0,1.0,0.22
12000,0.0058,68680.0,1.0,0.14
14000,0.0067,69712.0,1.0,0.15
16000,0.0073,69696.0,1.0,0.05
18000,0.008,71768.0,1.0,0.03
25000,0.038599999999999995,10220.0,2.0,6396.95
30000,0.0819,9260.0,3.0,7191.55
35000,0.0746,9212.0,3.0,7404.87
40000,0.07139999999999999,9228.0,3.0,7651.09
45000,0.0659,9176.0,3.0,7880.69
50000,0.0679,10252.0,3.0,8073.16
60000,0.0704,9232.0,3.0,8393.79
70000,0.07490000000000001,10252.0,3.0,8625.16
80000,0.084,10220.0,3.0,8796.56
90000,0.08929999999999999,10256.0,3.0,8931.4
100000,0.0962,10224.0,3.0,9048.33
200000,0.17489999999999997,9184.0,3.0,9554.16
300000,0.32899999999999996,10260.0,4.0,9722.83
400000,0.4202,9252.0,4.0,9777.55
500000,0.5266,9216.0,4.0,9820.68
600000,0.6397999999999999,9200.0,4.0,9848.37
700000,0.7171,9216.0,4.0,9871.88
800000,0.8118000000000001,9176.0,4.0,9887.0
900000,0.9407,9184.0,4.0,9901.28
1000000,1.023,9224.0,4.0,9913.23
2000000,2.0389,9180.0,4.0,9960.27
4000000,4.024100000000001,10216.0,4.0,9982.94
6000000,6.0866999999999996,9124.0,4.0,9989.75
8000000,8.2612,9212.0,4.0,9992.88
10000000,10.3894,9096.0,4.0,9995.1
15000000,15.339500000000001,9092.0,4.04,9997.2
20000000,21.430100000000003,9304.0,4.18,9998.14
25000000,29.13,9240.0,4.53,9998.83
30000000,38.5368,9092.0,4.79,9999.03
35000000,42.4104,9148.0,4.81,9999.41
40000000,49.319799999999994,9136.0,4.81,9999.66
49995000,59.74979999999999,9096.0,4.81,10000.0
