M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.00065,377928.0,1.0,0.122
2000,0.00174,403544.0,1.0,0.19
3000,0.0025,429112.0,1.0,0.325
4000,0.00329,458808.0,1.0,0.403
5000,0.00419,493652.0,1.0,0.471
6000,0.0035299999999999997,527460.0,1.0,0.408
7000,0.00588,557120.0,1.0,0.362
8000,0.0066,581716.0,1.0,0.298
9000,0.0076,601144.0,1.0,0.215
10000,0.00816,614516.0,1.0,0.206
12000,0.009380000000000001,636004.0,1.0,0.17
14000,0.01063,648264.0,1.0,0.119
16000,0.01174,658468.0,1.0,0.065
18000,0.01308,663612.0,1.0,0.05
25000,0.043840000000000004,9184.0,2.0,6388.86
30000,0.14311000000000001,10264.0,3.0,7185.21
35000,0.10336,9220.0,3.0,7396.11
40000,0.10726000000000001,9180.0,3.0,7648.76
45000,0.08607,9268.0,3.0,7880.04
50000,0.12064,10220.0,3.0,8076.7
60000,0.12278,9236.0,3.0,8392.01
70000,0.11925,9204.0,3.0,8621.29
80000,0.14568,9188.0,3.41,8839.95
90000,0.18631999999999999,9224.0,4.0,8966.06
100000,0.19347999999999999,9188.0,4.0,9035.8
200000,0.26842,9216.0,4.012,9511.97
300000,0.70356,10172.0,5.0,9672.76
400000,0.7075199999999999,9204.0,5.0,9754.57
500000,1.03397,9192.0,5.004,9806.55
600000,1.37423,9212.0,5.708,9848.25
700000,1.9015,9204.0,6.0,9866.88
800000,2.12124,9196.0,6.0,9881.56
900000,2.4252800000000003,9216.0,6.0,9894.57
