K,Time (s),Memory (MB),Passes
1,334.78,44.98,737
2,25.56,53.47,43
3,12.70,63.71,18
4,8.23,73.63,10
5,5.02,85.32,7
6,5.35,94.05,6
7,3.61,104.58,5
8,4.35,113.55,5
9,3.09,124.30,4
10,3.51,131.99,4
