K,Time (s),Memory (MB),Passes
1,3.66,210.06,5
2,2.93,186.97,4
3,3.26,198.25,4
4,3.82,235.08,4
5,2.67,152.47,3
6,2.92,170.33,3
7,2.43,204.45,3
8,1.57,189.31,2
9,1.76,178.62,2
10,1.87,169.35,2
