K,Time (s),Memory (MB),Passes
1,377.31,47.39,831
2,23.09,55.56,35
3,9.62,63.91,15
4,9.53,76.06,11
5,3.98,88.33,6
6,3.62,97.82,5
7,3.38,105.19,4
8,4.27,112.55,5
9,2.96,124.92,3
10,2.76,133.94,3
