K,Time (s),Memory (MB),Passes
1,293.35,49.01,571
2,15.07,59.77,23
3,8.97,66.42,12
4,9.29,76.86,9
5,3.65,87.93,5
6,5.05,95.19,6
7,3.33,105.24,4
8,7.93,112.50,11
9,2.65,122.50,3
10,2.94,130.65,3
