M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0,4202.24,1.0,0.0
2000,0.0,4191.84,1.0,0.0
3000,0.0,4189.4,1.0,0.0
4000,0.0,4202.44,1.0,0.0
5000,0.0,4190.32,1.0,0.0
6000,0.0,4178.44,1.0,0.0
7000,0.0,4198.8,1.0,0.0
8000,0.0,4204.56,1.0,0.0
9000,0.0,4193.04,1.0,0.0
10000,0.0,4206.88,1.0,0.0
12000,0.0,4197.88,1.0,0.0
14000,0.0,4185.72,1.0,0.0
16000,0.0001,4204.48,1.0,0.0
18000,0.0003,4198.12,1.0,0.0
25000,0.007500000000000004,5193.44,1.0,0.0
30000,0.008800000000000006,5090.36,1.0,0.0
35000,0.010000000000000007,5212.96,1.0,0.0
40000,0.010000000000000007,5202.8,1.0,0.0
45000,0.010000000000000007,5215.8,1.0,0.0
50000,0.011200000000000009,5212.12,1.0,0.0
60000,0.05559999999999993,11327.24,2.0,8433.1
70000,0.05799999999999991,11335.12,2.0,8638.87
80000,0.06379999999999998,11316.64,2.0,8806.49
90000,0.06339999999999994,11284.12,2.0,8935.97
100000,0.06940000000000004,11325.68,2.0,9042.87
200000,0.12139999999999979,11338.2,2.0,9544.48
300000,0.17179999999999995,11337.56,2.0,9707.76
400000,0.2228,11354.64,2.0,9788.88
500000,0.2763,11335.52,2.0,9835.0
600000,0.3311999999999996,11333.32,2.0,9863.77
700000,0.38250000000000006,11316.68,2.0,9886.02
800000,0.4310000000000001,11369.56,2.0,9902.7
900000,0.48039999999999944,11367.08,2.0,9914.03
1000000,0.5373999999999999,11329.32,2.0,9921.83
2000000,1.5258000000000005,11347.96,3.0,9959.15
4000000,3.000500000000001,11324.76,3.0,9980.29
6000000,4.5157,11335.64,3.0,9988.19
8000000,5.983400000000001,11355.0,3.0,9992.1
10000000,7.605300000000002,11352.16,3.0,9994.05
15000000,11.590299999999997,11357.28,3.0,9996.97
20000000,14.836799999999991,11372.36,3.0,9998.34
25000000,18.494399999999995,11374.28,3.0,9998.97
30000000,22.55390000000001,11360.44,3.0,9999.3
35000000,26.326999999999988,11347.88,3.0,9999.55
40000000,30.65339999999999,11350.56,3.0,9999.83
49995000,37.73,11367.6,3.0,10000.0
