K,Time (s),Memory (KB),Passes
1,0.77,22800.0,3
2,0.69,27424.0,2
3,0.83,31728.0,2
4,0.07,14976.0,1
5,0.07,15008.0,1
6,0.07,15056.0,1
7,0.07,15200.0,1
8,0.07,15136.0,1
9,0.07,15040.0,1
10,0.07,14992.0,1
