K,Time (s),Memory (KB),Passes
1,0.05,1648.0,22.0
2,0.02,1696.0,10.0
3,0.02,1856.0,8.0
4,0.01,1776.0,7.0
5,0.01,1824.0,6.0
6,0.01,2000.0,5.0
7,0.01,1904.0,5.0
8,0.01,1936.0,4.0
9,0.01,1984.0,4.0
10,0.01,2016.0,4.0
11,0.01,2208.0,4.0
12,0.01,2096.0,4.0
13,0.01,2288.0,4.0
14,0.0,2304.0,3.0
15,0.0,2352.0,3.0
16,0.0,2384.0,3.0
17,0.0,2416.0,3.0
18,0.0,2336.0,3.0
19,0.0,2368.0,3.0
20,0.0,2544.0,3.0
21,0.01,2592.0,3.0
22,0.01,2624.0,3.0
23,0.0,2656.0,3.0
24,0.01,2560.0,3.0
25,0.0,2560.0,2.0
30,0.0,2608.0,2.0
35,0.0,2560.0,2.0
40,0.0,2640.0,2.0
45,0.0,2704.0,2.0
50,0.0,2560.0,2.0
60,0.0,2624.0,2.0
70,0.0,2560.0,2.0
80,0.0,2560.0,2.0
90,0.0,2608.0,2.0
100,0.0,2560.0,2.0
200,0.0,2608.0,2.0
300,0.0,2560.0,2.0
400,0.0,2560.0,2.0
500,0.0,2560.0,2.0
600,0.0,2624.0,2.0
700,0.0,2560.0,2.0
800,0.0,2560.0,2.0
900,0.0,2624.0,2.0
1000,0.0,2560.0,2.0
