K,Average User Time (s),Average Memory (KB),Passes
1,0.01,3693.6,15
2,0.008,3740.0,8
3,0.0,3717.6,5
4,0.0,3792.0,4
5,0.0,3765.6,3
6,0.0,3865.6,3
7,0.0,3844.0,2
8,0.0,3912.8,2
9,0.0,3869.6,2
10,0.0,3912.0,2
