M,Time (s),Memory (KB),Passes
100,0.0,7224.0,1.0
200,0.0,7288.0,1.0
300,0.0,8284.0,1.0
400,0.0,8252.0,1.0
500,0.0,8248.0,1.0
600,0.0,7224.0,1.0
700,0.0,7220.0,1.0
800,0.0,8288.0,1.0
900,0.0,8252.0,1.0
1000,0.0,9272.0,1.0
2000,0.0,8248.0,1.0
3000,0.0,9288.0,1.0
4000,0.0,9292.0,1.0
5000,0.0,10316.0,1.0
6000,0.0,10280.0,1.0
7000,0.0,10300.0,1.0
8000,0.0,9284.0,1.0
9000,0.0,9340.0,1.0
10000,0.0,10304.0,1.0
11000,0.01,3124.0,2.21
12000,0.01,4168.0,2.24
13000,0.01,3112.0,2.21
14000,0.01,4136.0,2.22
15000,0.01,3120.0,2.2
16000,0.01,3108.0,2.2
17000,0.01,4184.0,2.22
18000,0.01,3140.0,2.19
19000,0.02,4136.0,2.24
20000,0.02,4144.0,2.2
30000,0.03,4176.0,2.31
40000,0.04,3144.0,2.57
50000,0.05,3168.0,2.72
60000,0.06,3168.0,2.7
70000,0.07,4160.0,2.65
80000,0.08,3164.0,2.62
90000,0.09,3144.0,2.56
100000,0.09,3108.0,2.52
200000,0.17,3108.0,2.17
300000,0.25,4136.0,2.04
400000,0.32,3108.0,2.0
