K,Time (s),Memory (KB),Passes
1,0.03,4152.0,2.24
2,0.03,4136.0,2.28
3,0.03,4168.0,2.28
4,0.03,4196.0,2.25
5,0.03,4144.0,2.24
6,0.03,4188.0,2.23
7,0.03,5172.0,2.17
8,0.03,5180.0,2.14
9,0.03,4196.0,2.14
10,0.03,4212.0,2.07
12,0.03,5184.0,2.03
14,0.03,5168.0,2.0
16,0.03,5212.0,2.0
18,0.03,6184.0,2.0
20,0.03,5216.0,2.0
25,0.03,6240.0,1.98
30,0.03,6212.0,1.85
35,0.01,9360.0,1.0
40,0.01,11312.0,1.0
50,0.01,10356.0,1.0
75,0.01,11360.0,1.0
100,0.01,11316.0,1.0
250,0.01,10324.0,1.0
500,0.01,11316.0,1.0
750,0.01,11340.0,1.0
1000,0.01,11320.0,1.0
2500,0.01,11300.0,1.0
5000,0.01,11356.0,1.0
7500,0.01,11320.0,1.0
10000,0.01,11316.0,1.0
