K,Time (s),Memory (KB),Passes
1,0.16,3172.0,18.65
2,0.07,4148.0,7.88
3,0.05,4172.0,6.18
4,0.05,4180.0,5.14
5,0.04,5180.0,4.63
6,0.04,5188.0,3.83
7,0.04,4208.0,3.67
8,0.03,5188.0,3.45
9,0.03,5176.0,3.0
10,0.03,5188.0,2.99
12,0.03,4156.0,2.94
14,0.03,4220.0,2.52
16,0.02,5184.0,2.21
18,0.02,6212.0,2.06
20,0.02,5168.0,2.0
25,0.02,5176.0,2.0
30,0.02,6196.0,2.0
35,0.01,11336.0,1.0
40,0.01,11344.0,1.0
50,0.01,11360.0,1.0
75,0.01,11332.0,1.0
100,0.01,10292.0,1.0
250,0.01,11356.0,1.0
500,0.01,11320.0,1.0
750,0.01,10296.0,1.0
1000,0.01,11348.0,1.0
2500,0.01,11316.0,1.0
5000,0.01,11320.0,1.0
7500,0.01,11300.0,1.0
10000,0.01,9252.0,1.0
