K,Time (s),Memory (KB),Passes
1,0.21,3108.0,25.2
2,0.11,4164.0,13.52
3,0.08,4136.0,9.25
4,0.06,4188.0,7.56
5,0.06,5212.0,6.59
6,0.05,5180.0,5.94
7,0.05,5176.0,5.37
8,0.05,5216.0,5.09
9,0.04,4156.0,4.64
10,0.04,5160.0,4.32
12,0.04,4184.0,4.2
14,0.04,4196.0,3.88
16,0.03,6196.0,3.35
18,0.03,5156.0,3.24
20,0.03,6204.0,3.22
25,0.03,5168.0,3.18
30,0.03,7160.0,3.05
35,0.02,6236.0,2.24
40,0.02,7260.0,2.23
50,0.02,6192.0,2.22
75,0.02,7224.0,2.0
100,0.02,6256.0,2.0
250,0.02,6200.0,2.0
500,0.02,6216.0,2.0
750,0.02,6228.0,2.0
1000,0.02,6212.0,2.0
2500,0.02,7252.0,2.0
5000,0.02,6252.0,2.0
7500,0.02,7228.0,2.0
10000,0.02,7208.0,2.0
