K,Time (s),Memory (KB),Passes
1,0.04,4152.0,3.41
2,0.04,4180.0,3.41
3,0.04,3196.0,3.41
4,0.04,4160.0,3.41
5,0.04,4156.0,3.41
6,0.04,4180.0,3.41
7,0.04,4184.0,3.41
8,0.04,4192.0,3.41
9,0.04,4188.0,3.41
10,0.04,3176.0,3.39
12,0.04,3108.0,3.39
14,0.04,4136.0,3.38
16,0.04,3108.0,3.39
18,0.04,4192.0,3.4
20,0.04,4156.0,3.39
25,0.04,3136.0,3.42
30,0.04,3116.0,3.42
35,0.04,4180.0,3.4
40,0.04,5200.0,3.38
50,0.04,5180.0,3.38
75,0.03,5188.0,3.28
100,0.03,4196.0,3.07
250,0.03,4204.0,2.25
500,0.02,5188.0,2.0
750,0.02,4176.0,2.0
1000,0.02,4160.0,2.0
2500,0.02,5172.0,2.0
5000,0.02,4160.0,2.0
7500,0.02,5212.0,2.0
10000,0.02,4196.0,2.0
