N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3177.56,1.0,0.0
20,0.0,3172.2,1.0,0.0
30,0.0,3176.84,1.0,0.0
40,0.0,3174.24,1.0,0.0
50,0.0,3167.84,1.0,0.0
60,0.0,3174.96,1.0,0.0
70,0.0,3178.16,1.0,0.0
80,0.0,3177.28,1.0,0.0
90,0.0,3176.72,1.0,0.0
100,0.0,3176.12,1.0,0.0
200,0.0,3171.6,1.0,0.0
300,0.0,3168.84,1.0,0.0
400,0.0,3179.76,1.0,0.0
500,0.0,3175.64,1.0,0.0
600,0.0,3178.32,1.0,0.0
700,0.0,3174.48,1.0,0.0
800,0.0,3183.0,1.0,0.0
900,0.0,3175.4,1.0,0.0
1000,0.0,3177.28,1.0,0.0
1200,0.011600000000000008,4198.96,2.0,76.88
1400,0.01300000000000001,4201.76,2.0,86.38
1600,0.01300000000000001,5224.36,2.0,72.91
1800,0.025599999999999998,5216.8,2.01,75.07
2000,0.0239,5210.52,2.03,80.51
2500,0.036399999999999995,6248.84,2.02,75.97
3000,0.04849999999999996,6252.36,2.04,74.33
3500,0.058599999999999916,7273.36,2.03,73.53
4000,0.041800000000000004,7284.84,2.01,68.42
4500,0.050199999999999925,8293.72,2.02,69.73
5000,0.059899999999999905,9309.48,2.02,78.56
6000,0.07350000000000008,10342.08,2.01,71.08
7000,0.08979999999999995,11367.32,2.03,72.93
8000,0.10639999999999991,12396.28,2.01,71.49
9000,0.1216999999999999,13411.88,2.0,64.17
10000,0.1383000000000002,15460.12,2.0,64.0
