N,Time (s),Memory (KB),Passes
10,0.0,4064.0,2.0
20,0.0,3916.0,3.0
30,0.0,4120.0,3.04
40,0.0,4084.0,3.07
50,0.0,4092.0,3.1
60,0.0,3988.0,3.12
70,0.0,4060.0,3.15
80,0.0,4252.0,3.17
90,0.0,4096.0,3.2
100,0.0,4104.0,3.22
150,0.0,3984.0,3.32
200,0.0,4132.0,3.39
250,0.0,4184.0,3.45
300,0.0,4200.0,3.51
350,0.0,4172.0,3.55
400,0.0,4280.0,3.59
450,0.0,4304.0,3.63
500,0.0,4352.0,3.65
600,0.01,4376.0,3.7
700,0.01,4436.0,3.74
800,0.01,4512.0,3.78
900,0.01,4456.0,3.8
1000,0.01,4584.0,3.84
1200,0.01,4724.0,3.87
1400,0.02,4848.0,3.89
1600,0.02,4848.0,3.92
1800,0.02,5096.0,3.94
2000,0.02,5144.0,3.95
2500,0.03,5048.0,3.98
3000,0.04,5648.0,4.0
3500,0.05,5872.0,4.01
4000,0.06,6152.0,4.02
4500,0.07,6416.0,4.02
5000,0.07,6648.0,4.03
6000,0.09,7164.0,4.04
7000,0.11,7460.0,4.05
8000,0.13,7756.0,4.06
9000,0.15,8684.0,4.07
10000,0.11,9068.0,2.85
