N,Time (s),Memory (KB),Passes
10,0.0,4168.0,3.4
20,0.0,4236.0,9.4
30,0.0,4180.0,15.2
40,0.0,4168.0,22.2
50,0.0,4168.0,28.4
60,0.0,4236.0,36.1
70,0.0,4188.0,43.0
80,0.01,4168.0,49.9
90,0.01,4196.0,57.2
100,0.01,4192.0,65.2
150,0.03,4168.0,107.7
200,0.06,4224.0,148.8
250,0.1,4168.0,195.4
300,0.15,4168.0,232.8
350,0.21,4168.0,283.4
400,0.28,4168.0,325.3
450,0.38,3108.0,382.7
500,0.47,3104.0,429.3
550,0.59,3104.0,472.1
600,0.72,3108.0,519.9
650,0.86,4276.0,566.0
700,1.01,3184.0,613.5
750,1.21,4196.0,675.8
800,1.41,3188.0,717.9
850,1.67,3192.0,790.6
900,1.81,3108.0,829.2
950,1.99,4168.0,865.7
1000,2.2,4168.0,907.3
