K,Average User Time (s),Average Memory (KB),Passes
1,16.8633,227452.0,4
2,3.9333,148017.3333,2
3,5.94,135040.0,2
4,10.0967,153017.3333,2
5,16.0833,171265.3333,2
6,0.5167,175140.0,1
7,0.5333,175176.0,1
8,0.5333,175126.6667,1
9,0.5233,175145.3333,1
10,0.51,175153.3333,1
