N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4160.0,1.0,9.34
20,0.0,3124.0,1.67,15.74
30,0.0001,3236.0,1.98,21.29
40,0.0002,3180.0,2.0,26.42
50,0.0003,3180.0,2.0,30.96
60,0.0004,3224.0,2.0,36.21
70,0.0005,3184.0,2.01,39.95
80,0.0006,3172.0,2.01,44.41
90,0.0007000000000000001,3148.0,2.01,48.71
100,0.0008,3176.0,2.02,52.32
200,0.0024,3188.0,2.08,86.98
300,0.0046,3172.0,2.16,116.06
400,0.0069,3140.0,2.18,134.27
500,0.0097,3192.0,2.24,147.94
600,0.0124,3188.0,2.18,163.6
700,0.015600000000000001,3200.0,2.21,168.7
800,0.019799999999999998,3228.0,2.32,180.05
900,0.023,3136.0,2.21,178.93
1000,0.0271,4172.0,2.28,195.91
1200,0.0358,3172.0,2.26,199.36
1400,0.0443,4248.0,2.16,226.43
1600,0.053899999999999997,4196.0,2.18,220.2
1800,0.0639,4212.0,2.13,237.07
2000,0.0754,4176.0,2.14,258.56
2500,0.10490000000000001,4176.0,2.15,287.21
3000,0.1323,5240.0,2.03,298.8
3500,0.166,5272.0,2.02,323.53
4000,0.2045,5228.0,2.04,337.68
4500,0.24239999999999998,5208.0,2.02,363.23
5000,0.2845,6268.0,2.04,409.49
6000,0.3764,6228.0,2.01,422.6
7000,0.473,7236.0,2.0,460.88
