K,Average User Time (s),Average Memory (KB),Passes
1,202.754,157217.6,3
2,191.45,185687.2,2
3,181.122,209688.8,2
4,192.624,234761.6,2
5,202.92,251972.0,1
6,201.706,251976.8,1
7,203.026,251960.8,1
8,203.956,251953.6,1
9,202.586,251929.6,1
10,202.886,251977.6,1
