M,Time (s),Memory (KB),Passes
100,0.03,4168.0,1000.0
200,0.06,4188.0,1000.0
300,0.08,4180.0,1000.0
400,0.11,4188.0,1000.0
500,0.13,4164.0,1000.0
600,0.15,4148.0,1000.0
700,0.18,3160.0,1000.0
800,0.2,3132.0,1000.0
900,0.23,3132.0,1000.0
1000,0.25,4152.0,1000.0
2000,0.49,4144.0,1000.0
3000,0.75,3152.0,1000.0
4000,0.99,3108.0,1000.0
5000,1.24,3184.0,1000.0
6000,1.49,3140.0,1000.0
7000,1.74,4192.0,1000.0
8000,1.95,3108.0,1000.0
9000,2.26,4188.0,1000.0
10000,2.45,4188.0,1000.0
11000,2.73,3160.0,1000.0
12000,2.98,4152.0,1000.0
13000,3.2,3104.0,1000.0
14000,3.44,3104.0,1000.0
15000,3.68,3136.0,1000.0
16000,3.86,4180.0,1000.0
17000,4.17,3156.0,1000.0
18000,4.42,3196.0,1000.0
19000,4.69,3136.0,1000.0
20000,4.86,3144.0,1000.0
30000,7.29,3136.0,1000.0
40000,9.64,3136.0,1000.0
50000,12.18,3176.0,1000.0
60000,14.76,3108.0,1000.0
70000,16.99,3108.0,1000.0
80000,19.7,3148.0,1000.0
90000,21.95,3108.0,1000.0
100000,24.67,3108.0,1000.0
200000,49.26,3108.0,1000.0
300000,73.16,3108.0,1000.0
400000,95.68,3108.0,1000.0
