N,Time (s),Memory (KB),Passes
10,0.0,3980.0,1.0
20,0.0,4024.0,1.0
30,0.0,4156.0,1.0
40,0.0,4004.0,1.0
50,0.0,3832.0,1.0
60,0.0,3960.0,1.0
70,0.0,3848.0,1.0
80,0.0,4052.0,1.0
90,0.0,4080.0,1.0
100,0.0,4072.0,1.0
150,0.0,3952.0,1.0
200,0.0,4228.0,1.0
250,0.0,4296.0,1.0
300,0.0,4128.0,1.0
350,0.0,4132.0,1.0
400,0.0,4148.0,1.0
450,0.0,4412.0,1.0
500,0.0,4256.0,1.0
600,0.0,4784.0,2.0
700,0.0,4916.0,2.0
800,0.01,5064.0,2.0
900,0.01,5000.0,2.0
1000,0.01,5336.0,2.0
1200,0.01,5496.0,2.0
1400,0.01,5872.0,2.0
1600,0.01,6132.0,2.0
1800,0.01,6404.0,2.0
2000,0.01,6596.0,2.0
2500,0.02,7284.0,2.0
3000,0.02,7704.0,2.0
3500,0.03,8480.0,2.0
4000,0.03,9212.0,2.0
4500,0.03,10008.0,2.0
5000,0.04,10540.0,2.0
6000,0.04,11548.0,2.0
7000,0.06,12832.0,2.0
8000,0.07,14244.0,2.0
