M,Time (s),Memory (KB),Passes
100,0.0,7204.0,1.0
200,0.0,7248.0,1.0
300,0.0,7220.0,1.0
400,0.0,8248.0,1.0
500,0.0,8248.0,1.0
600,0.0,8276.0,1.0
700,0.0,8240.0,1.0
800,0.0,7224.0,1.0
900,0.0,7272.0,1.0
1000,0.0,8252.0,1.0
2000,0.0,8248.0,1.0
3000,0.0,9304.0,1.0
4000,0.0,8244.0,1.0
5000,0.0,9288.0,1.0
6000,0.0,10336.0,1.0
7000,0.0,10332.0,1.0
8000,0.0,9296.0,1.0
9000,0.0,10276.0,1.0
10000,0.0,10276.0,1.0
11000,0.01,4144.0,2.21
12000,0.01,4172.0,2.24
13000,0.01,4188.0,2.21
14000,0.01,4168.0,2.22
15000,0.01,3108.0,2.2
16000,0.01,4180.0,2.2
17000,0.01,4152.0,2.22
18000,0.01,3136.0,2.19
19000,0.02,4172.0,2.24
20000,0.02,3132.0,2.2
30000,0.03,3104.0,2.31
40000,0.04,3120.0,2.57
50000,0.05,4152.0,2.72
60000,0.06,3152.0,2.7
70000,0.07,4180.0,2.65
80000,0.08,3116.0,2.62
90000,0.08,3108.0,2.56
100000,0.09,4148.0,2.52
200000,0.17,3108.0,2.17
300000,0.25,4152.0,2.04
400000,0.32,4188.0,2.0
