M,Time (s),Memory (KB),Passes
100,0.0,7228.0,1.0
200,0.0,8248.0,1.0
300,0.0,8244.0,1.0
400,0.0,8276.0,1.0
500,0.0,8232.0,1.0
600,0.0,8228.0,1.0
700,0.0,8248.0,1.0
800,0.0,8228.0,1.0
900,0.0,7224.0,1.0
1000,0.0,9312.0,1.0
2000,0.0,8260.0,1.0
3000,0.0,9256.0,1.0
4000,0.0,8284.0,1.0
5000,0.0,10296.0,1.0
6000,0.01,4192.0,2.23
7000,0.01,3132.0,2.24
8000,0.01,3136.0,2.26
9000,0.01,4136.0,2.33
10000,0.01,4152.0,2.28
11000,0.01,4164.0,2.21
12000,0.01,4192.0,2.24
13000,0.01,4180.0,2.21
14000,0.01,4176.0,2.22
15000,0.01,3108.0,2.2
16000,0.01,3184.0,2.2
17000,0.01,3136.0,2.22
18000,0.01,4188.0,2.19
19000,0.02,3124.0,2.24
20000,0.02,3124.0,2.2
30000,0.03,4168.0,2.32
40000,0.04,4156.0,2.56
50000,0.05,3136.0,2.72
60000,0.06,3140.0,2.7
70000,0.07,4152.0,2.64
80000,0.08,4148.0,2.62
90000,0.08,3108.0,2.56
100000,0.09,3108.0,2.52
200000,0.17,3136.0,2.17
300000,0.25,3108.0,2.04
400000,0.33,3128.0,2.0
