K,Average User Time (s),Average Memory (KB),Passes
1,203.6167,139605.3333,471
2,74.8367,154600.0,43
3,48.9667,186229.3333,13
4,44.6167,217581.3333,9
5,0.76,224717.3333,2
6,0.7533,224693.3333,2
7,0.7633,224753.3333,2
8,0.7333,224762.6667,2
9,0.7667,224702.6667,2
10,0.74,224830.6667,2
