K,Time (s),Memory (KB),Passes
1,0.17,4648.0,47
2,0.06,4676.0,13
3,0.03,5012.0,8
4,0.02,5228.0,5
5,0.02,5312.0,5
6,0.02,5628.0,4
7,0.0,4428.0,1
8,0.0,4296.0,1
9,0.0,4300.0,1
10,0.0,4428.0,1
