K,Time (s),Memory (KB),Passes
1,0.03,4388.0,4
2,0.03,4500.0,4
3,0.02,4276.0,4
4,0.03,4404.0,4
5,0.03,4564.0,4
6,0.03,4472.0,4
7,0.02,4416.0,4
8,0.03,4356.0,4
9,0.03,4424.0,4
10,0.02,4564.0,4
