M,Time (s),Memory (KB),Passes
100,0.0,6200.0,1.0
200,0.0,8232.0,1.0
300,0.0,8240.0,1.0
400,0.0,8276.0,1.0
500,0.0,8248.0,1.0
600,0.0,8244.0,1.0
700,0.0,7284.0,1.0
800,0.0,8272.0,1.0
900,0.0,7292.0,1.0
1000,0.0,9308.0,1.0
2000,0.0,9272.0,1.0
3000,0.0,8252.0,1.0
4000,0.0,8264.0,1.0
5000,0.0,10276.0,1.0
6000,0.01,4212.0,2.07
7000,0.01,4148.0,2.15
8000,0.01,5188.0,2.19
9000,0.01,4180.0,2.25
10000,0.01,5200.0,2.31
11000,0.01,5176.0,2.42
12000,0.01,5172.0,2.77
13000,0.01,4168.0,3.04
14000,0.02,5216.0,3.17
15000,0.02,5176.0,3.25
16000,0.02,5172.0,3.29
17000,0.02,4144.0,3.35
18000,0.02,5216.0,3.37
19000,0.02,4212.0,3.4
20000,0.02,4128.0,3.55
30000,0.04,4164.0,4.91
40000,0.07,4172.0,6.02
50000,0.1,4172.0,7.23
60000,0.13,4144.0,8.01
70000,0.16,4208.0,8.6
80000,0.19,4160.0,9.07
90000,0.23,5212.0,9.41
100000,0.25,4216.0,9.77
200000,0.57,5172.0,11.13
300000,0.9,4160.0,11.83
400000,1.22,4132.0,12.37
