M,Time (s),Memory (KB),Passes
100,0.0,6260.0,1.0
200,0.0,8276.0,1.0
300,0.0,7276.0,1.0
400,0.0,8248.0,1.0
500,0.0,8252.0,1.0
600,0.0,7228.0,1.0
700,0.0,8288.0,1.0
800,0.0,8252.0,1.0
900,0.0,7252.0,1.0
1000,0.0,8276.0,1.0
2000,0.0,9284.0,1.0
3000,0.0,8244.0,1.0
4000,0.0,8276.0,1.0
5000,0.0,10336.0,1.0
6000,0.0,10280.0,1.0
7000,0.0,10296.0,1.0
8000,0.0,9300.0,1.0
9000,0.0,10312.0,1.0
10000,0.0,10316.0,1.0
11000,0.01,5168.0,2.0
12000,0.01,5176.0,2.03
13000,0.01,5180.0,2.13
14000,0.01,5176.0,2.17
15000,0.01,5176.0,2.18
16000,0.01,4172.0,2.21
17000,0.01,5208.0,2.21
18000,0.01,5196.0,2.22
19000,0.01,5176.0,2.23
20000,0.01,5188.0,2.24
30000,0.03,4180.0,3.21
40000,0.05,4172.0,4.09
50000,0.07,5168.0,4.85
60000,0.09,4132.0,5.46
70000,0.11,4160.0,5.75
80000,0.13,5188.0,6.04
90000,0.15,5196.0,6.41
100000,0.17,4128.0,6.56
200000,0.38,4160.0,7.58
300000,0.62,4132.0,8.2
400000,0.84,4132.0,8.54
