M,Time (s),Memory (KB),Passes
100,0.0,7244.0,1.0
200,0.0,8288.0,1.0
300,0.0,8284.0,1.0
400,0.0,8272.0,1.0
500,0.0,7268.0,1.0
600,0.0,8248.0,1.0
700,0.0,8252.0,1.0
800,0.0,7232.0,1.0
900,0.0,8288.0,1.0
1000,0.0,8256.0,1.0
2000,0.0,9272.0,1.0
3000,0.01,3128.0,5.4
4000,0.01,3140.0,5.7
5000,0.01,3124.0,6.05
6000,0.01,3176.0,6.23
7000,0.02,4136.0,6.61
8000,0.02,3108.0,6.88
9000,0.02,3144.0,7.13
10000,0.02,3184.0,7.47
11000,0.03,4156.0,7.74
12000,0.03,4164.0,7.94
13000,0.03,3108.0,8.2
14000,0.04,3160.0,8.51
15000,0.04,3152.0,8.75
16000,0.04,3108.0,9.01
17000,0.05,3132.0,9.31
18000,0.05,4156.0,9.58
19000,0.05,4136.0,9.8
20000,0.06,3108.0,10.08
30000,0.1,3108.0,13.14
40000,0.17,4172.0,16.74
50000,0.26,3184.0,20.2
60000,0.35,4184.0,22.65
70000,0.44,3128.0,24.57
80000,0.52,3108.0,25.88
90000,0.61,3140.0,26.94
100000,0.7,3104.0,27.64
200000,1.53,3108.0,30.96
300000,2.35,4152.0,32.0
400000,3.29,3108.0,32.87
