M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,42072.0,1.0,0.15
2000,0.001,44068.0,1.0,0.18
3000,0.0016,46192.0,1.0,0.44
4000,0.002,50248.0,1.0,0.34
5000,0.0025,54316.0,1.0,0.44
6000,0.0031,56440.0,1.0,0.39
7000,0.0036,59436.0,1.0,0.32
8000,0.0040999999999999995,63568.0,1.0,0.22
9000,0.0046,64564.0,1.0,0.23
10000,0.005,65660.0,1.0,0.22
12000,0.0059,67708.0,1.0,0.14
14000,0.0067,69716.0,1.0,0.15
16000,0.0073,70696.0,1.0,0.05
18000,0.008100000000000001,71756.0,1.0,0.03
25000,0.0103,72804.0,1.0,23.89
30000,0.011899999999999999,74832.0,1.0,46.85
35000,0.0137,74836.0,1.0,131.07
40000,0.014499999999999999,75828.0,1.0,481.53
45000,0.0159,75860.0,1.0,1074.67
50000,0.0172,76856.0,1.0,1462.3
60000,0.1434,9280.0,3.15,8149.18
70000,0.1564,8228.0,3.07,8397.02
80000,0.16870000000000002,8228.0,3.05,8586.15
90000,0.1827,8264.0,3.08,8738.2
100000,0.1972,8256.0,3.07,8861.06
200000,0.3296,8280.0,3.07,9427.62
300000,0.4512,8244.0,3.03,9623.3
400000,0.5722999999999999,8228.0,3.01,9720.34
500000,0.705,8228.0,2.99,9777.07
600000,0.812,8228.0,2.93,9816.22
700000,0.9314,9264.0,2.93,9844.23
800000,1.0658,8228.0,2.96,9864.76
900000,1.1696,8256.0,2.89,9880.95
1000000,1.2990000000000002,8232.0,2.85,9892.95
2000000,2.417,8256.0,2.63,9950.58
4000000,4.5264999999999995,8304.0,2.46,9977.52
6000000,6.5004,9288.0,2.31,9986.42
8000000,8.5054,8228.0,2.2,9990.51
10000000,10.4649,7204.0,2.13,9993.11
15000000,15.218699999999998,8248.0,2.06,9996.45
20000000,20.3035,8228.0,2.06,9997.94
25000000,25.499699999999997,7204.0,2.05,9998.74
30000000,30.2841,7232.0,2.01,9999.22
35000000,35.1427,7268.0,2.0,9999.46
40000000,40.8186,8224.0,2.0,9999.65
49995000,50.733999999999995,8228.0,2.0,10000.0
