N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4148.0,1.0,3.0
20,0.0,4148.0,1.0,4.0
30,0.0,4184.0,1.0,29.0
40,0.0,3188.0,1.0,37.0
50,0.0,4140.0,1.0,48.0
60,0.0,4164.0,1.0,56.0
70,0.0,3176.0,1.0,65.0
80,0.0,4144.0,1.0,75.0
90,0.0,4148.0,1.0,86.0
100,0.0,4164.0,1.0,95.0
200,0.0,4152.0,1.0,190.0
300,0.0,3196.0,1.0,285.0
400,0.0,4168.0,1.0,386.0
500,0.0,3188.0,1.0,473.0
600,0.01,4168.0,1.0,579.0
700,0.01,4192.0,1.0,675.0
800,0.01,3156.0,1.0,772.0
900,0.02,3196.0,1.0,867.0
1000,0.02,3128.0,1.0,980.0
1200,0.03,4208.0,1.0,1170.0
1400,0.04,5184.0,1.0,1364.0
1600,0.05,5176.0,1.0,1564.0
1800,0.06,5204.0,1.0,1754.0
2000,0.07,5188.0,1.0,1952.0
2500,0.11,4164.0,1.0,2451.0
3000,0.15,6196.0,1.0,2952.0
3500,0.18,6220.0,1.0,3438.0
4000,0.23,5188.0,1.0,3935.0
4500,0.28,7256.0,1.0,4435.0
5000,0.33,7236.0,1.0,4938.0
6000,0.45,8272.0,1.0,5901.0
7000,0.82,9296.0,2.0,6898.0
8000,0.69,9288.0,1.0,7901.0
9000,0.83,11316.0,1.0,8892.0
10000,1.0,11352.0,1.0,9893.0
