K,Time (s),Memory (KB),Passes
1,150.31,140808.0,322
2,83.92,173804.0,100
3,0.26,66424.0,1
4,0.29,66416.0,1
5,0.27,66452.0,1
6,0.27,66520.0,1
7,0.28,66420.0,1
8,0.28,66500.0,1
9,0.29,66372.0,1
10,0.29,66420.0,1
